Order_ID,Brand,Region,Category,Month,Discount_Pct,Ad_Spend,Customer_Rating,Competitor_Price_Index,Units_Sold,Price_Per_Unit,Revenue,Profit
200001,Beta,East,Appliances,Jul,3.58,7980.26,2.66,0.95,53,429.93,22786.29,5943.12
200002,Omega,West,Appliances,Apr,4.6,10931.31,2.96,1.14,41,450.0,18450.0,4740.68
200003,Delta,East,Furniture,Feb,23.67,10397.64,3.72,0.87,98,761.21,74598.58,12064.08
200004,Gamma,West,Electronics,May,8.08,14315.48,3.36,1.23,41,581.35,23835.35,5662.83
200005,Alpha,West,Electronics,Nov,27.69,3305.15,3.01,1.01,151,585.64,88431.64,12461.97
200006,Alpha,East,Electronics,Nov,20.7,6372.42,2.87,0.89,137,547.05,74945.85,13263.92
200007,Alpha,South,Electronics,Mar,8.04,8260.52,4.14,0.89,105,547.57,57494.85,13784.86
200008,Omega,West,Furniture,Sep,16.75,10719.05,3.9,0.76,92,720.0,66240.0,13049.72
200009,Delta,East,Furniture,Jun,14.21,8440.87,4.61,1.1,83,762.19,63261.77,13250.56
200010,Delta,North,Furniture,Jan,30.56,13865.86,2.96,1.14,111,704.4,78188.4,9930.83
200011,Alpha,East,Furniture,Mar,1.13,9912.74,4.62,0.77,90,766.12,68950.8,18938.43
200012,Omega,North,Electronics,Dec,31.35,2515.65,3.94,1.04,131,584.57,76578.67,9475.54
200013,Omega,West,Appliances,Apr,22.82,3477.53,3.17,1.14,65,437.52,28438.8,4677.84
200014,Alpha,East,Clothing,Sep,25.81,11795.44,3.18,0.94,126,92.15,11610.9,1676.03
200015,Alpha,East,Furniture,Nov,0.09,11305.24,3.48,0.97,80,790.61,63248.8,17633.68
200016,Alpha,North,Appliances,Jun,21.99,3995.46,3.65,0.93,129,435.44,56171.76,9580.66
200017,Beta,East,Furniture,Apr,20.6,2765.81,2.71,0.91,88,753.56,66313.28,11823.65
200018,Gamma,East,Electronics,Jan,18.8,9523.33,4.6,1.0,68,551.85,37525.8,6978.03
200019,Gamma,West,Electronics,Aug,27.51,10264.6,2.8,0.83,84,515.42,43295.28,6231.08
200020,Beta,East,Appliances,Nov,19.46,3758.9,3.71,0.97,105,415.59,43636.95,8018.13
200021,Delta,South,Appliances,Feb,30.0,8157.05,3.46,1.22,85,421.51,35828.35,4622.72
200022,Alpha,North,Appliances,Nov,8.14,5975.81,3.78,0.76,133,417.98,55591.34,13299.7
